PDGP_ID,GENUS,SPECIES,FROH
PD_0001,Cheracebus,lugens,0.02829385
PD_0002,Callibella,humilis,0.00991667
PD_0003,Cacajao,hosomi,0.06922806
PD_0004,Ateles,belzebuth,0.08438225
PD_0005,Alouatta,macconnelli,0.06254126
PD_0006,Chiropotes,israelita,0.03880299
PD_0007,Cebus,olivaceus,0.02831854
PD_0008,Aotus,trivirgatus,0.19520082
PD_0009,Saguinus,inustus,0.3056544
PD_0010,Cebuella,niveiventris,0.13701765
PD_0011,Sapajus,macrocephalus,0.2827679
PD_0012,Saimiri,ustus,0.04070355
PD_0013,Cebus,unicolor,0.0088365
PD_0014,Plecturocebus,cupreus,0.02564819
PD_0015,Pithecia,vanzolinii,0.04144865
PD_0016,Lagothrix,lagothricha,0.02549358
PD_0017,Leontocebus,nigricollis,0.04136473
PD_0018,Cacajao,melanocephalus,0.03490799
PD_0019,Cacajao,ayresi,0.20011467
PD_0020,Cacajao,calvus,0.07547476
PD_0021,Cacajao,calvus,0.38788293
PD_0022,Cacajao,ayresi,0.17439299
PD_0023,Cacajao,calvus,0.02535423
PD_0024,Cacajao,calvus,0.07723853
PD_0025,Alouatta,seniculus,0.04502374
PD_0026,Alouatta,puruensis,0.13566757
PD_0027,Alouatta,discolor,0.00081997
PD_0028,Allenopithecus,nigroviridis,0.06035611
PD_0029,Allochrocebus,lhoesti,0.12142062
PD_0030,Allochrocebus,preussi,0.07849128
PD_0031,Allochrocebus,solatus,0.1610913
PD_0032,Cercopithecus,ascanius,0.02506197
PD_0033,Cercopithecus,nictitans,0.00264941
PD_0034,Erythrocebus,patas,0.01569296
PD_0035,Hylobates,klossii,0.0153785
PD_0036,Hylobates,abbotti,0.02838554
PD_0037,Nomascus,concolor,0.06079536
PD_0038,Presbytis,mitrata,0.03890128
PD_0039,Piliocolobus,badius,0.00408101
PD_0040,Lophocebus,aterrimus,0.08320564
PD_0041,Cercopithecus,cephus,0.01539521
PD_0042,Cercopithecus,mona,0.00615808
PD_0043,Cercopithecus,lowei,0
PD_0044,Macaca,siberu,0.14934915
PD_0045,Piliocolobus,gordonorum,0.23143299
PD_0046,Piliocolobus,kirkii,0.06444053
PD_0047,Piliocolobus,tephrosceles,0.0533823
PD_0048,Trachypithecus,crepusculus,0.18048614
PD_0049,Hylobates,muelleri,0.0580646
PD_0050,Hylobates,agilis,0
PD_0051,Nomascus,gabriellae,0.01602526
PD_0052,Presbytis,comata,0.0225114
PD_0053,Trachypithecus,auratus,0.09741775
PD_0054,Trachypithecus,francoisi,0.00901772
PD_0055,Colobus,polykomos,0.15522173
PD_0056,Colobus,guereza,0.15819119
PD_0057,Mandrillus,sphinx,0.03920537
PD_0058,Cercopithecus,neglectus,0.14979898
PD_0059,Cercopithecus,diana,0.03422749
PD_0060,Cercopithecus,hamlyni,0
PD_0061,Cercopithecus,mitis,0.15738918
PD_0062,Erythrocebus,patas,0
