Species,Mating.System,SocialSystem,NatalDispersal
Gorilla_beringei,Harem Polygyny,Polygyny,NA
Gorilla_gorilla,Harem Polygyny,Polygyny,Bisexual
Pan_paniscus,Polygynandry,Polygynandry,Sexbiased
Pan_troglodytes,Polygynandry,Polygynandry,Sexbiased
Pongo_abelii,Spatial Polygyny,Solitary,Bisexual
Pongo_pygmaeus,Spatial Polygyny,Solitary,Bisexual
Pongo_tapanuliensis,NA,NA,NA
Hoolock_hoolock,Monogamy,Pair,Bisexual
Hoolock_leuconedys,NA,NA,NA
Hoolock_tianxing,NA,NA,NA
Hylobates_abbotti,NA,NA,NA
Hylobates_agilis,Monogamy,Pair,Bisexual
Hylobates_albibarbis,NA,NA,NA
Hylobates_funereus,NA,NA,NA
Hylobates_klossii,Monogamy,Pair,Bisexual
Hylobates_lar,Monogamy,Pair,Bisexual
Hylobates_moloch,Monogamy,Pair,Bisexual
Hylobates_muelleri,Monogamy,Pair,Bisexual
Hylobates_pileatus,Monogamy,Pair,Bisexual
Nomascus_annamensis,NA,NA,NA
Nomascus_concolor,Monogamy,Pair,Bisexual
Nomascus_gabriellae,NA,Pair,Bisexual
Nomascus_hainanus,NA,NA,NA
Nomascus_leucogenys,NA,Pair,Bisexual
Nomascus_nasutus,NA,NA,NA
Nomascus_siki,NA,NA,NA
Symphalangus_syndactylus,Monogamy,Pair,Bisexual
Allenopithecus_nigroviridis,NA,Polygynandry,Sexbiased
Allochrocebus_lhoesti,Harem Polygyny,Polygyny,Sexbiased
Allochrocebus_preussi,NA,Polygyny,Sexbiased
Allochrocebus_solatus,NA,Polygyny,Sexbiased
Cercocebus_agilis,Polygynandry,Polygynandry,Sexbiased
Cercocebus_atys,Polygynandry,Polygynandry,NA
Cercocebus_chrysogaster,NA,NA,NA
Cercocebus_galeritus,Polygynandry,Polygynandry,Sexbiased
Cercocebus_lunulatus,NA,NA,NA
Cercocebus_sanjei,NA,NA,NA
Cercocebus_torquatus,NA,Polygynandry,Sexbiased
Cercopithecus_albogularis,NA,NA,NA
Cercopithecus_ascanius,Harem Polygyny,Polygyny,Sexbiased
Cercopithecus_campbelli,Harem Polygyny,Polygyny,NA
Cercopithecus_cephus,Harem Polygyny,Polygyny,Sexbiased
Cercopithecus_denti,NA,NA,NA
Cercopithecus_diana,Harem Polygyny,Polygyny,Sexbiased
Cercopithecus_doggetti,NA,NA,NA
Cercopithecus_dryas,NA,NA,NA
Cercopithecus_erythrogaster,NA,Polygyny,Sexbiased
Cercopithecus_erythrotis,NA,Polygyny,Sexbiased
Cercopithecus_hamlyni,NA,Polygyny,Sexbiased
Cercopithecus_kandti,NA,NA,NA
Cercopithecus_lomamiensis,NA,NA,NA
Cercopithecus_lowei,NA,NA,Sexbiased
Cercopithecus_mitis,Harem Polygyny,Polygynandry,Sexbiased
Cercopithecus_mona,Harem Polygyny,Polygyny,Sexbiased
Cercopithecus_neglectus,Harem Polygyny,Polygyny,Sexbiased
Cercopithecus_nictitans,Harem Polygyny,Polygyny,Sexbiased
Cercopithecus_petaurista,NA,Polygyny,Sexbiased
Cercopithecus_pogonias,Harem Polygyny,Polygyny,NA
Cercopithecus_roloway,NA,NA,NA
Cercopithecus_sclateri,NA,NA,NA
Cercopithecus_wolfi,NA,Polygyny,Sexbiased
Chlorocebus_aethiops,Polygynandry,Polygynandry,Sexbiased
Chlorocebus_cynosuros,NA,NA,NA
Chlorocebus_djamdjamensis,NA,NA,NA
Chlorocebus_pygerythrus,Polygynandry,Polygynandry,Sexbiased
Chlorocebus_sabaeus,NA,Polygynandry,Sexbiased
Chlorocebus_tantalus,NA,Polygynandry,Sexbiased
Colobus_angolensis,Harem Polygyny,Polygynandry,Bisexual
Colobus_guereza,Harem Polygyny,Polygynandry,Sexbiased
Colobus_polykomos,Harem Polygyny,Polygynandry,Bisexual
Colobus_satanas,Polygynandry,Polygynandry,NA
Colobus_vellerosus,NA,NA,NA
Erythrocebus_patas,Harem Polygyny,Polygyny,Sexbiased
Erythrocebus_poliophaeus,NA,NA,NA
Lophocebus_albigena,Polygynandry,Polygynandry,Sexbiased
Lophocebus_aterrimus,Polygynandry,Polygynandry,NA
Lophocebus_johnstoni,NA,NA,NA
Lophocebus_opdenboschi,NA,NA,NA
Lophocebus_osmani,NA,NA,NA
Lophocebus_ugandae,NA,NA,NA
Macaca_arctoides,Polygynandry,Polygynandry,Sexbiased
Macaca_assamensis,NA,Polygynandry,Sexbiased
Macaca_cyclopis,NA,Polygynandry,Sexbiased
Macaca_fascicularis,Polygynandry,Polygynandry,Sexbiased
Macaca_fuscata,Polygynandry,Polygynandry,Sexbiased
Macaca_hecki,NA,Polygynandry,Sexbiased
Macaca_leonina,NA,Polygynandry,Sexbiased
Macaca_leucogenys,NA,NA,NA
Macaca_maura,NA,Polygynandry,Sexbiased
Macaca_mulatta,Polygynandry,Polygynandry,Sexbiased
Macaca_munzala,NA,NA,NA
Macaca_nemestrina,Polygynandry,Polygynandry,Sexbiased
Macaca_nigra,Polygynandry,Polygynandry,Sexbiased
Macaca_nigrescens,NA,Polygynandry,Sexbiased
Macaca_ochreata,NA,Polygynandry,Sexbiased
Macaca_pagensis,NA,Polygyny,Sexbiased
Macaca_radiata,Polygynandry,Polygynandry,Sexbiased
Macaca_siberu,NA,NA,NA
Macaca_silenus,Polygynandry,Polygynandry,Sexbiased
Macaca_sinica,Polygynandry,Polygynandry,Sexbiased
Macaca_sylvanus,Polygynandry,Polygynandry,Sexbiased
Macaca_thibetana,NA,Polygynandry,Sexbiased
Macaca_tonkeana,NA,Polygynandry,Sexbiased
Mandrillus_leucophaeus,Polygynandry,Polygynandry,Sexbiased
Mandrillus_sphinx,Polygynandry,Polygynandry,Sexbiased
Miopithecus_ogouensis,NA,NA,NA
Miopithecus_talapoin,Polygynandry,Polygynandry,Sexbiased
Nasalis_larvatus,Harem Polygyny,Polygynandry,Bisexual
